id	rank	name	childcount	min	max	mode	median	mean	stddev	sum16slist
15034	genus	Aquaspirillum	1	5	5			5.00	0.00	[5]
15035	genus	Oligella	1	3	3			3.00	0.00	[3]
15036	genus	Leisingera	1	5	5			5.00	0.00	[5]
15037	genus	Defluviitoga	1	3	3			3.00	0.00	[3]
15038	genus	Candidatus Pelagibacter	2	1	1			1.00	0.00	[1, 1]
15039	genus	Rubrobacter	2	1	1			1.00	0.00	[1, 1]
15040	genus	Proteiniphilum	1	2	2			2.00	0.00	[2]
15041	genus	Saccharospirillum	1	4	4			4.00	0.00	[4]
15042	genus	Candidatus Arthromitus	3	5	6			5.17	0.24	[6, 5, 5, 5]
15043	genus	Salimicrobium	1	7	7			7.00	0.00	[7]
15044	genus	Methanocella	2	2	3			2.50	0.50	[3, 2]
15045	genus	Cutibacterium	3	2	6			2.70	0.50	[2, 3, 3, 3, 3, 3, 3, 2, 3, 3, 3, 3, 3, 3, 6, 3, 3, 3, 3, 3, 3]
15046	genus	Halioglobus	2	2	2			2.00	0.00	[2, 2]
15047	genus	Haloplanus	2	2	2			2.00	0.00	[2, 2]
15048	genus	Helicobacter	12	1	3			1.99	0.41	[2, 2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 2, 2, 2]
15049	genus	Roseiflexus	2	2	2			2.00	0.00	[2, 2]
15050	genus	Roseovarius	2	2	2			2.00	0.00	[2, 2]
15051	genus	Cytophaga	1	3	3			3.00	0.00	[3]
15052	genus	Ornithobacterium	1	3	3			3.00	0.00	[3, 3]
15053	genus	Methanotorris	1	2	2			2.00	0.00	[2]
15054	genus	Flammeovirga	1	8	8			8.00	0.00	[8]
15055	genus	Dokdonella	1	2	2			2.00	0.00	[2]
15056	genus	Granulosicoccus	1	3	3			3.00	0.00	[3]
15057	genus	Cloacibacillus	1	5	5			5.00	0.00	[5]
15058	genus	Actinobacillus	5	6	6			6.00	0.00	[6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]
15059	genus	Frateuria	1	4	4			4.00	0.00	[4]
15060	genus	Laribacter	1	7	7			7.00	0.00	[7, 7]
15061	genus	Niveispirillum	1	4	4			4.00	0.00	[4]
15062	genus	Parabacteroides	2	7	7			7.00	0.00	[7, 7, 7]
15063	genus	Blastopirellula	1	2	2			2.00	0.00	[2]
15064	genus	Ignicoccus	2	1	1			1.00	0.00	[1, 1]
15065	genus	Alteromonas	10	5	7			5.20	0.60	[5, 5, 5, 7, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]
15066	genus	Oceanisphaera	2	8	8			8.00	0.00	[8, 8]
15067	genus	Simplicispira	1	3	3			3.00	0.00	[3]
15068	genus	Symbiobacterium	1	6	6			6.00	0.00	[6]
15069	genus	Syntrophobotulus	1	4	4			4.00	0.00	[4]
15070	genus	Alloactinosynnema	1	3	3			3.00	0.00	[3]
15071	genus	Finegoldia	1	4	4			4.00	0.00	[4]
15072	genus	Methylovorus	2	2	2			2.00	0.00	[2, 2]
15073	genus	Proteus	2	6	7			6.98	0.02	[7, 6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7]
15074	genus	Nautilia	1	4	4			4.00	0.00	[4]
15075	genus	Acidiphilium	2	2	2			2.00	0.00	[2, 2]
15076	genus	Rhodoferax	4	2	3			2.50	0.50	[2, 2, 3, 3]
15077	genus	Eikenella	1	4	4			4.00	0.00	[4]
15078	genus	Chitinophaga	2	4	6			5.00	1.00	[4, 6]
15079	genus	Isoptericola	2	3	4			3.50	0.50	[3, 4]
15080	genus	Filomicrobium	1	1	1			1.00	0.00	[1, 1]
15081	genus	Cellvibrio	3	2	5			3.33	1.25	[5, 3, 2]
15082	genus	Stigmatella	1	2	2			2.00	0.00	[2]
15083	genus	Trichodesmium	1	2	2			2.00	0.00	[2]
15084	genus	Agrobacterium	6	3	5			4.00	0.58	[3, 4, 4, 3, 5, 4, 4, 4, 4, 5]
15085	genus	Elusimicrobium	1	1	1			1.00	0.00	[1]
15086	genus	Luteipulveratus	1	2	2			2.00	0.00	[2]
15087	genus	Nitrosococcus	3	2	2			2.00	0.00	[2, 2, 2]
15088	genus	Minicystis	1	4	4			4.00	0.00	[4]
15089	genus	Candidatus Atelocyanobacterium	1	2	2			2.00	0.00	[2]
15090	genus	Thermosulfidibacter	1	1	1			1.00	0.00	[1]
15091	genus	Salinisphaera	1	2	2			2.00	0.00	[2]
15092	genus	Mesotoga	1	2	2			2.00	0.00	[2]
15093	genus	Nitrosomonas	6	1	1			1.00	0.00	[1, 1, 1, 1, 1, 1]
15094	genus	Lonsdalea	1	7	7			7.00	0.00	[7]
15095	genus	Owenweeksia	1	2	2			2.00	0.00	[2]
15096	genus	Pannonibacter	1	3	3			3.00	0.00	[3]
15097	genus	Rhodococcus	25	3	6			4.23	0.55	[4, 5, 4, 4, 6, 4, 3, 4, 5, 5, 4, 5, 4, 5, 5, 4, 4, 4, 5, 4, 4, 4, 4, 4, 4, 4, 5, 4, 4, 4, 4, 4, 4, 4, 5, 4, 4]
15098	genus	Wenzhouxiangella	1	1	1			1.00	0.00	[1]
15099	genus	Bacteroides	14	4	7			5.10	1.03	[5, 5, 5, 7, 5, 4, 4, 6, 4, 6, 6, 6, 6, 6, 6, 6, 6, 5, 5, 5, 4, 4, 7, 5]
15100	genus	Treponema	12	2	4			2.42	0.76	[2, 2, 2, 2, 2, 2, 2, 2, 4, 2, 4, 2, 3]
15101	genus	Barnesiella	1	5	5			5.00	0.00	[5]
15102	genus	Salmonella	2	5	8			6.99	0.01	[7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 8, 8, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 6, 7, 7, 5, 7, 7, 7, 7, 7, 7, 7, 7, 6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 6, 7, 7, 7, 6, 7, 7, 7, 7, 7, 7, 6, 7, 7, 7, 7, 7, 7, 7, 5, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 6, 7, 7, 7, 7, 7, 7, 7, 7, 6, 8, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 6, 7, 7, 8, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7]
15103	genus	Chroococcidiopsis	1	3	3			3.00	0.00	[3]
15104	genus	Eggerthella	2	2	3			2.50	0.50	[3, 3, 2]
15105	genus	Kocuria	4	3	3			3.00	0.00	[3, 3, 3, 3, 3]
15106	genus	Candidatus Phycorickettsia	1	1	1			1.00	0.00	[1]
15107	genus	Candidatus Nasuia	1	1	1			1.00	0.00	[1, 1, 1]
15108	genus	Gottschalkia	1	6	6			6.00	0.00	[6]
15109	genus	Desulfohalobium	1	2	2			2.00	0.00	[2]
15110	genus	Reinekea	1	5	5			5.00	0.00	[5]
15111	genus	Streptococcus	47	1	9			4.84	1.30	[4, 6, 5, 6, 4, 4, 4, 6, 9, 4, 6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 6, 7, 7, 8, 5, 5, 6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 6, 7, 7, 7, 7, 7, 6, 7, 7, 7, 7, 7, 6, 7, 7, 7, 7, 6, 4, 4, 4, 6, 4, 2, 5, 4, 4, 4, 4, 6, 6, 6, 6, 6, 8, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2, 1, 5, 6, 5, 4, 4, 4, 6, 5, 6, 6, 7, 5, 6, 6, 6, 5, 5, 5, 5, 6, 6, 6, 6, 6, 4, 4, 4, 4, 4, 4, 5, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 1, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5, 4, 4, 4, 4, 6, 6, 6, 6, 5, 6, 6, 6, 6, 6, 6, 6, 6, 5, 5, 6, 5, 6, 5, 6, 5, 6, 6, 6, 5, 6, 6, 6, 6, 6, 6, 5, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 5, 5, 5, 5, 6, 6, 6, 6, 6, 5, 6, 5, 5, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 5, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 7, 6, 6, 6, 6, 5, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 5, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 4, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 6, 6, 5, 5, 6, 6, 5, 6, 7, 7, 5, 4, 2, 6, 6, 6, 6, 5, 6, 5, 5, 6, 5, 6, 6, 6, 5, 6, 5, 6, 6, 6, 5, 6, 6, 6, 5, 5, 6, 4, 4, 7, 5, 6, 5, 5, 4, 4, 3, 4, 4, 4, 5, 4, 4, 4, 4, 4, 4, 4, 5, 5, 5, 5, 6, 5, 6, 6, 6]
15112	genus	Candidatus Promineofilum	1	1	1			1.00	0.00	[1]
15113	genus	Stenoxybacter	1	4	4			4.00	0.00	[4]
15114	genus	Glutamicibacter	1	6	6			6.00	0.00	[6, 6]
15115	genus	Thiomonas	1	1	1			1.00	0.00	[1, 1]
15116	genus	Zobellia	1	2	2			2.00	0.00	[2]
15117	genus	Xanthomonas	15	1	2			2.00	0.01	[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 2, 2, 2, 2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]
15118	genus	Taylorella	2	3	3			3.00	0.00	[3, 3, 3, 3, 3, 3, 3, 3]
15119	genus	Thalassospira	3	4	6			4.67	0.94	[6, 4, 4]
15120	genus	Leifsonia	1	1	1			1.00	0.00	[1, 1, 1]
15121	genus	Cnuibacter	1	2	2			2.00	0.00	[2]
15122	genus	Methanomethylovorans	1	2	2			2.00	0.00	[2]
15123	genus	Methanothermococcus	1	2	2			2.00	0.00	[2]
15124	genus	Sulfuriferula	1	3	3			3.00	0.00	[3]
15125	genus	Thermus	7	1	2			1.86	0.35	[2, 2, 2, 2, 2, 2, 2, 1, 2, 2, 2]
15126	genus	Devriesea	1	2	2			2.00	0.00	[2]
15127	genus	Chryseobacterium	9	2	7			5.22	1.40	[5, 5, 2, 6, 6, 4, 6, 6, 6, 6, 7]
15128	genus	Mesoplasma	7	2	3			2.14	0.35	[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3, 2, 2, 2, 2, 2]
15129	genus	Dermatophilus	1	3	3			3.00	0.00	[3]
15130	genus	Trichormus	2	4	4			4.00	0.00	[4, 4]
15131	genus	Enterococcus	13	4	7			5.46	0.84	[6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 7, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 6, 6, 6, 6, 6, 6, 5, 4, 5, 6, 6, 7, 5, 5]
15132	genus	Aequorivita	1	2	2			2.00	0.00	[2]
15133	genus	Gynuella	1	4	4			4.00	0.00	[4]
15134	genus	Massilia	7	6	8			7.00	0.53	[7, 7, 7, 7, 7, 6, 8]
15135	genus	Ketogulonicigenium	2	5	6			5.50	0.50	[5, 5, 5, 5, 5, 6]
15136	genus	Pelagibaca	2	2	4			3.00	1.00	[4, 2]
15137	genus	Thauera	6	3	4			3.83	0.37	[4, 4, 4, 4, 3, 4]
15138	genus	Aureitalea	1	2	2			2.00	0.00	[2]
15139	genus	Citrobacter	17	7	9			7.53	0.50	[8, 8, 8, 8, 8, 8, 8, 9, 8, 8, 8, 8, 8, 8, 8, 8, 7, 7, 7, 7, 7, 7, 7, 7, 7, 8, 7, 7, 8, 7, 8, 8, 8, 7, 7, 8, 8, 8]
15140	genus	Thermodesulfatator	1	2	2			2.00	0.00	[2]
15141	genus	Morganella	1	7	7			7.00	0.00	[7, 7, 7, 7, 7, 7, 7, 7]
15142	genus	Candidatus Portiera	1	1	1			1.00	0.00	[1, 1, 1, 1, 1, 1, 1, 1]
15143	genus	Campylobacter	27	1	4			2.87	0.31	[3, 3, 3, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1, 3, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 3, 2, 1, 2, 3, 1, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 3, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]
15144	genus	Pyrococcus	7	1	1			1.00	0.00	[1, 1, 1, 1, 1, 1, 1, 1]
15145	genus	Gloeobacter	2	1	1			1.00	0.00	[1, 1]
15146	genus	Parachlamydia	1	3	3			3.00	0.00	[3]
15147	genus	Fuerstia	1	2	2			2.00	0.00	[2]
15148	genus	Halobacterium	4	1	3			1.12	0.22	[1, 1, 3, 1, 1, 1, 1]
15149	genus	Hydrogenobaculum	5	2	2			2.00	0.00	[2, 2, 2, 2, 2]
15150	genus	Conexibacter	1	1	1			1.00	0.00	[1]
15151	genus	Paraliobacillus	1	9	9			9.00	0.00	[9]
15152	genus	Miniimonas	1	2	2			2.00	0.00	[2]
15153	genus	Marinovum	1	2	2			2.00	0.00	[2]
15154	genus	Thermosediminibacter	1	3	3			3.00	0.00	[3]
15155	genus	Acetobacterium	1	5	5			5.00	0.00	[5]
15156	genus	Pelosinus	2	9	15			12.00	3.00	[9, 15]
15157	genus	Halococcus	1	2	2			2.00	0.00	[2]
15158	genus	Wenyingzhuangia	1	4	4			4.00	0.00	[4]
15159	genus	Butyrivibrio	2	4	6			5.00	1.00	[4, 6]
15160	genus	Tateyamaria	1	1	1			1.00	0.00	[1]
15161	genus	Melaminivora	2	3	3			3.00	0.00	[3, 3]
15162	genus	Gemella	3	4	4			4.00	0.00	[4, 4, 4]
15163	genus	Pseudopedobacter	1	4	4			4.00	0.00	[4]
15164	genus	Amycolatopsis	7	3	4			3.86	0.35	[4, 4, 3, 4, 4, 4, 4, 4, 4, 4, 4]
15165	genus	Slackia	1	2	2			2.00	0.00	[2]
15166	genus	Buchnera	1	1	1			1.00	0.00	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
15167	genus	Arcobacter	1	4	4			4.00	0.00	[4]
15168	genus	Thermobifida	1	4	4			4.00	0.00	[4]
15169	genus	Nonomuraea	1	5	5			5.00	0.00	[5]
15170	genus	Pelodictyon	2	2	3			2.50	0.50	[2, 3]
15171	genus	Acidipropionibacterium	2	3	5			3.60	0.60	[3, 4, 4, 4, 5, 4]
15172	genus	Melittangium	1	4	4			4.00	0.00	[4]
15173	genus	Staphylothermus	2	1	1			1.00	0.00	[1, 1]
15174	genus	Sodalis	4	1	7			5.00	2.45	[5, 7, 7, 1, 7]
15175	genus	Paraburkholderia	17	3	7			5.65	1.03	[6, 3, 6, 6, 4, 7, 6, 6, 6, 7, 7, 6, 6, 6, 6, 6, 4, 5, 6, 6, 6, 6]
15176	genus	Dickeya	6	7	7			7.00	0.00	[7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7]
15177	genus	Martelella	3	2	3			2.67	0.47	[3, 3, 2]
15178	genus	Anaerotignum	1	7	7			7.00	0.00	[7]
15179	genus	Methanomassiliicoccus	1	1	1			1.00	0.00	[1]
15180	genus	Antarctobacter	1	2	2			2.00	0.00	[2]
15181	genus	Agarivorans	1	7	7			7.00	0.00	[7]
15182	genus	Psychroflexus	1	3	3			3.00	0.00	[3]
15183	genus	Zunongwangia	1	3	3			3.00	0.00	[3]
15184	genus	Mageeibacillus	1	2	2			2.00	0.00	[2]
15185	genus	Tannerella	2	2	2			2.00	0.00	[2, 2, 2, 2]
15186	genus	Erysipelothrix	2	3	9			4.90	0.90	[7, 3, 9, 5, 5, 4]
15187	genus	Acidimicrobium	1	2	2			2.00	0.00	[2]
15188	genus	Neomicrococcus	1	3	3			3.00	0.00	[3]
15189	genus	Faecalibaculum	1	14	14			14.00	0.00	[14]
15190	genus	Bacillus	75	1	16			10.16	2.24	[12, 14, 12, 8, 10, 8, 8, 13, 13, 8, 9, 9, 14, 14, 14, 14, 14, 7, 8, 9, 10, 13, 13, 13, 13, 12, 13, 13, 13, 13, 13, 13, 14, 7, 8, 8, 8, 8, 8, 8, 8, 7, 8, 8, 8, 10, 9, 10, 6, 10, 10, 10, 9, 12, 7, 7, 8, 8, 8, 8, 10, 13, 13, 13, 13, 14, 14, 14, 14, 13, 12, 14, 15, 14, 12, 13, 15, 13, 14, 14, 14, 14, 14, 14, 14, 13, 13, 13, 14, 13, 13, 12, 12, 14, 13, 13, 12, 12, 15, 14, 13, 11, 13, 12, 14, 14, 14, 14, 9, 13, 9, 11, 11, 11, 11, 11, 10, 11, 11, 10, 10, 11, 11, 11, 10, 11, 11, 11, 11, 11, 11, 10, 10, 10, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 14, 14, 9, 12, 11, 15, 7, 6, 7, 8, 11, 13, 13, 12, 13, 13, 14, 14, 13, 12, 14, 11, 12, 14, 13, 14, 13, 14, 14, 14, 13, 13, 14, 14, 14, 13, 14, 10, 14, 16, 15, 13, 14, 13, 15, 15, 14, 14, 14, 14, 14, 14, 13, 14, 14, 14, 15, 14, 14, 10, 12, 14, 12, 9, 10, 10, 9, 9, 10, 9, 10, 8, 7, 7, 8, 9, 9, 10, 7, 8, 9, 7, 9, 9, 5, 9, 9, 9, 9, 7, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 7, 9, 9, 7, 9, 7, 9, 8, 9, 9, 9, 9, 9, 9, 9, 9, 9, 8, 9, 9, 9, 9, 9, 9, 7, 8, 12, 6, 10, 7, 7, 10, 9, 9, 10, 8, 8, 8, 9, 8, 9, 9, 7, 9, 9, 9, 9, 9, 8, 9, 9, 9, 9, 9, 9, 11, 12, 11, 13, 14, 13, 14, 13, 9, 12, 7, 7, 7, 8, 11, 8, 7, 8, 8, 8, 8, 14, 14, 9, 9, 8, 11, 8, 10, 10, 10, 10, 8, 10, 10, 10, 10, 10, 10, 9, 10, 9, 10, 10, 10, 10, 8, 7, 7, 7, 9, 7, 10, 10, 10, 10, 10, 7, 10, 10, 10, 1, 10, 10, 8, 10, 10, 10, 10, 10, 10, 10, 10, 10, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 9, 10, 15, 8, 8, 8, 8, 8, 8, 10, 7, 14, 10, 13, 10, 9, 9, 10, 14, 1, 12, 14, 7, 7, 8, 8, 8, 8, 8, 8, 9, 8, 8, 8, 8, 8, 8, 9]
15191	genus	Woeseia	1	1	1			1.00	0.00	[1]
15192	genus	Tamlana	1	3	3			3.00	0.00	[3]
15193	genus	Brevundimonas	6	2	2			2.00	0.00	[2, 2, 2, 2, 2, 2]
15194	genus	Natronobacterium	1	3	3			3.00	0.00	[3]
15195	genus	Tepidanaerobacter	1	2	2			2.00	0.00	[2, 2]
15196	genus	Micavibrio	1	1	1			1.00	0.00	[1, 1]
15197	genus	Thermosipho	4	3	4			3.75	0.43	[3, 4, 4, 4, 4]
15198	genus	Candidatus Fonsibacter	1	1	1			1.00	0.00	[1]
15199	genus	Persephonella	1	2	2			2.00	0.00	[2]
15200	genus	Selenomonas	5	4	7			4.60	1.20	[4, 4, 4, 7, 4]
15201	genus	Tropheryma	1	1	1			1.00	0.00	[1, 1]
15202	genus	Mycoplasma	46	1	3			1.66	0.66	[1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 2, 2, 1, 2, 2, 2, 1, 1, 1, 1, 1, 1, 2, 3, 2, 2, 2, 2, 2, 2, 1, 1, 1, 2, 1, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 2, 2, 2, 2, 2, 2, 1, 2, 2, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 1, 3, 1, 2, 1, 2, 2, 2, 2, 2, 1, 1, 1, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 2, 1]
15203	genus	Dictyoglomus	2	2	2			2.00	0.00	[2, 2]
15204	genus	Dialister	2	5	5			5.00	0.00	[5, 5]
15205	genus	Frischella	1	4	4			4.00	0.00	[4]
15206	genus	Kordia	1	3	3			3.00	0.00	[3]
15207	genus	Kamptonema	1	1	1			1.00	0.00	[1]
15208	genus	Hungateiclostridium	3	3	6			4.33	1.25	[4, 4, 4, 4, 3, 6]
15209	genus	Algibacter	1	2	2			2.00	0.00	[2]
15210	genus	Streptosporangium	1	6	6			6.00	0.00	[6]
15211	genus	Halomonas	15	1	7			5.13	1.45	[4, 6, 6, 6, 1, 7, 4, 6, 6, 4, 6, 6, 5, 6, 4]
15212	genus	Candidatus Purcelliella	1	1	1			1.00	0.00	[1]
15213	genus	Ensifer	2	3	5			4.00	1.00	[5, 3]
15214	genus	Haloferax	3	2	4			2.33	0.47	[4, 2, 2, 2]
15215	genus	Allochromatium	1	3	3			3.00	0.00	[3]
15216	genus	Rhodovulum	3	3	3			3.00	0.00	[3, 3, 3, 3, 3]
15217	genus	Olleya	2	4	4			4.00	0.00	[4, 4]
15218	genus	Granulicella	2	1	1			1.00	0.00	[1, 1]
15219	genus	Halohasta	1	2	2			2.00	0.00	[2]
15220	genus	Syntrophus	1	1	1			1.00	0.00	[1]
15221	genus	Sulfolobus	5	1	1			1.00	0.00	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
15222	genus	Thermoanaerobacter	8	4	4			4.00	0.00	[4, 4, 4, 4, 4, 4, 4, 4]
15223	genus	Thermodesulfobium	2	2	2			2.00	0.00	[2, 2]
15224	genus	Roseibacterium	1	2	2			2.00	0.00	[2]
15225	genus	Thioploca	1	1	1			1.00	0.00	[1]
